Date,Close,,行标签,平均值项:Close,,,,,,
1959/1/2,55.439999,,1959年,,,,,,,
1959/1/5,55.66,,1月,55.62047648,,,,55.62047648,,#NUM!
1959/1/6,55.59,,2月,54.788421,,,,54.788421,,-0.006545921
1959/1/7,54.889999,,3月,56.14809476,,,,56.14809476,,0.01064624
1959/1/8,55.400002,,4月,57.09863555,,,,57.09863555,,0.007290706
1959/1/9,55.77,,5月,57.99238119,,,,57.99238119,,0.006745211
1959/1/12,55.779999,,6月,57.46045464,,,,57.46045464,,-0.004001884
1959/1/13,55.470001,,7月,59.73590891,,,,59.73590891,,0.016866418
1959/1/14,55.619999,,8月,59.40095229,,,,59.40095229,,-0.002442069
1959/1/15,55.830002,,9月,57.05952386,,,,57.05952386,,-0.017465264
1959/1/16,55.810001,,10月,57.00181786,,,,57.00181786,,-0.000439437
1959/1/19,55.68,,11月,57.23315774,,,,57.23315774,,0.001759002
1959/1/20,55.720001,,12月,59.05499986,,,,59.05499986,,0.013608965
1959/1/21,56.040001,,1960年,,,,,,,#NUM!
1959/1/22,55.970001,,1月,58.0290003,,,,58.0290003,,#NUM!
1959/1/23,56,,2月,55.7749999,,,,55.7749999,,-0.017205511
1959/1/26,55.77,,3月,55.01521761,,,,55.01521761,,-0.005956743
1959/1/27,55.779999,,4月,55.6999997,,,,55.6999997,,0.005372358
1959/1/28,55.16,,5月,55.21523795,,,,55.21523795,,-0.003796245
1959/1/29,55.200001,,6月,57.26318173,,,,57.26318173,,0.015816527
1959/1/30,55.450001,,7月,55.8399997,,,,55.8399997,,-0.010930068
1959/2/2,55.209999,,8月,56.50521717,,,,56.50521717,,0.005143141
1959/2/3,55.279999,,9月,54.80285767,,,,54.80285767,,-0.013285343
1959/2/4,55.060001,,10月,53.74333357,,,,53.74333357,,-0.008478604
1959/2/5,54.810001,,11月,55.4850002,,,,55.4850002,,0.013850991
1959/2/6,54.369999,,12月,56.80000005,,,,56.80000005,,0.010172744
1959/2/9,53.580002,,1961年,,,,,,,#NUM!
1959/2/10,54.32,,1月,59.72619067,,,,59.72619067,,#NUM!
1959/2/11,54.349998,,2月,62.17263126,,,,62.17263126,,0.017434432
1959/2/12,54,,3月,64.08909036,,,,64.08909036,,0.01318486
