DATE,FEDFUNDS,,,,,
1954/7/1,0.8,0.008,,0.023,,0.015
1954/8/1,1.22,0.0122,,0.0236,,0.0114
1954/9/1,1.06,0.0106,,0.0238,,0.0132
1954/10/1,0.85,0.0085,,0.0243,,0.0158
1954/11/1,0.83,0.0083,,0.0248,,0.0165
1954/12/1,1.28,0.0128,,0.0251,,0.0123
1955/1/1,1.39,0.0139,,0.0261,,0.0122
1955/2/1,1.29,0.0129,,0.0265,,0.0136
1955/3/1,1.35,0.0135,,0.0268,,0.0133
1955/4/1,1.43,0.0143,,0.0275,,0.0132
1955/5/1,1.43,0.0143,,0.0276,,0.0133
1955/6/1,1.64,0.0164,,0.0278,,0.0114
1955/7/1,1.68,0.0168,,0.029,,0.0122
1955/8/1,1.96,0.0196,,0.0297,,0.0101
1955/9/1,2.18,0.0218,,0.0297,,0.0079
1955/10/1,2.24,0.0224,,0.0288,,0.0064
1955/11/1,2.35,0.0235,,0.0289,,0.0054
1955/12/1,2.48,0.0248,,0.0296,,0.0048
1956/1/1,2.45,0.0245,,0.029,,0.0045
1956/2/1,2.5,0.025,,0.0284,,0.0034
1956/3/1,2.5,0.025,,0.0296,,0.0046
1956/4/1,2.62,0.0262,,0.0318,,0.0056
1956/5/1,2.75,0.0275,,0.0307,,0.0032
1956/6/1,2.71,0.0271,,0.03,,0.0029
1956/7/1,2.75,0.0275,,0.0311,,0.0036
1956/8/1,2.73,0.0273,,0.0333,,0.006
1956/9/1,2.95,0.0295,,0.0338,,0.0043
1956/10/1,2.96,0.0296,,0.0334,,0.0038
1956/11/1,2.88,0.0288,,0.0349,,0.0061
1956/12/1,2.94,0.0294,,0.0359,,0.0065
1957/1/1,2.84,0.0284,,0.0346,,0.0062
1957/2/1,3,0.03,,0.0334,,0.0034
1957/3/1,2.96,0.0296,,0.0341,,0.0045
1957/4/1,3,0.03,,0.0348,,0.0048
1957/5/1,3,0.03,,0.036,,0.006
1957/6/1,3,0.03,,0.038,,0.008
1957/7/1,2.99,0.0299,,0.0393,,0.0094
1957/8/1,3.24,0.0324,,0.0393,,0.0069
1957/9/1,3.47,0.0347,,0.0392,,0.0045
1957/10/1,3.5,0.035,,0.0397,,0.0047
1957/11/1,3.28,0.0328,,0.0372,,0.0044
1957/12/1,2.98,0.0298,,0.0321,,0.0023
1958/1/1,2.72,0.0272,,0.0309,,0.0037
1958/2/1,1.67,0.0167,,0.0305,,0.0138
1958/3/1,1.2,0.012,,0.0298,,0.0178
1958/4/1,1.26,0.0126,,0.0288,,0.0162
1958/5/1,0.63,0.0063,,0.0292,,0.0229
1958/6/1,0.93,0.0093,,0.0297,,0.0204
1958/7/1,0.68,0.0068,,0.032,,0.0252
