va_1,va_2,va_3,va_4,labels
-0.001734438,0.006545921,70.3,0.0396,0
-0.00267886,-0.01064624,71.2,0.0399,0
-0.002507712,-0.007290706,72.1,0.0412,0
-0.001861189,-0.006745211,73.9,0.0431,0
-0.001061122,0.004001884,66.3,0.0434,0
-0.000993966,-0.016866418,64.8,0.044,0
0.003794122,0.002442069,57.4,0.0443,0
-0.000748475,0.017465264,50.9,0.0468,0
0.000569375,0.000439437,50.4,0.0453,0
-0.002240645,-0.001759002,51.9,0.0453,0
-0.004350716,-0.013608965,61.7,0.0469,0
-0.000800927,0.007611584,71.9,0.0472,0
-0.001908253,0.017205511,58.6,0.0449,0
0.000470296,0.005956743,52.4,0.0425,0
-0.002853785,-0.005372358,49.8,0.0428,0
0.002686333,0.003796245,45,0.0435,1
0.001013672,-0.015816527,48.5,0.0415,1
0.000335751,0.010930068,48.2,0.039,1
0.000271989,-0.005143141,50.3,0.038,1
0.000360248,0.013285343,50,0.038,1
0.000681284,0.008478604,51.2,0.0389,1
0.001454305,-0.013850991,45.6,0.0393,1
0.001766165,-0.010172744,47.5,0.0384,1
0.000477047,-0.02181648,47.3,0.0384,1
0.001020536,-0.017434432,49.2,0.0378,1
-0.000826333,-0.01318486,55.4,0.0374,0
0.000259072,-0.012325317,61.7,0.0378,0
-0.001285745,-0.003706001,66.6,0.0371,0
-0.001539496,0.006077122,65.3,0.0388,0
-0.001173118,0.000904969,64.3,0.0392,0
-0.001401972,-0.015329514,68.4,0.0404,0
-0.000719256,0.003612659,66.8,0.0398,0
-0.00106869,-0.00450561,66.3,0.0392,0
-0.001748882,-0.019670233,58.3,0.0394,0
-0.00103013,-0.004041397,66.1,0.0406,0
-0.000150353,0.016492265,66.4,0.0408,0
-0.002343513,-0.007195425,64.7,0.0404,0
-0.000684096,-0.000434191,66.9,0.0393,0
-0.002561662,0.01402879,57.4,0.0384,0
-0.000203033,0.033573047,55.3,0.0387,0
-0.000124896,0.054005035,54.8,0.0391,0
-0.000795369,-0.010344682,54.7,0.0401,0
-0.000716144,-0.011716574,52.5,0.0398,0
-0.001087523,0.003946933,52.4,0.0398,0
-0.000488498,0.013921253,54,0.0393,0
-0.000116228,-0.028975019,56.9,0.0392,0
0.000216985,-0.018208917,63.3,0.0386,0
-0.000673847,-0.016654309,56.5,0.0383,0
-0.000889116,-0.005705311,57.7,0.0392,0
-0.000694563,0.001648624,56.3,0.0393,0
-0.002000297,-0.019943936,61,0.0397,0
-0.000276239,-0.00862747,60.4,0.0393,0
-0.000329723,0.000183543,60.6,0.0399,0
-0.001033552,0.006470031,60.4,0.0402,0
-0.000886128,-0.011835032,56.8,0.04,0
-0.001280162,-0.011287799,63.2,0.0408,0
-0.001557007,-0.001017842,63.3,0.0411,0
0.000212336,0.002364916,64.1,0.0412,0
-0.000803295,-0.009171086,60.7,0.0413,0
-0.000952931,-0.013139814,63.3,0.0417,0
-0.002004903,-0.005294452,64,0.0415,0
-0.001081512,-0.007838741,64.4,0.0422,0
-0.000187488,-0.006223257,60.6,0.0423,0
-0.001250351,-0.004301556,61,0.042,0
-0.000970841,0.002642728,62.1,0.0417,0
-0.001437335,-0.015833892,63.7,0.0419,0
-0.001536329,0.006425717,63.9,0.0419,0
-0.002099009,-0.007396831,64.9,0.042,0
0.000811793,-0.007434186,61.8,0.0419,0
-0.003128114,-0.003008348,62.1,0.0415,0
-0.001486221,0.007580785,63.5,0.0418,0
-0.001175121,-0.011013936,58.2,0.0419,0
-0.001586107,-0.003167302,59.8,0.0421,0
-0.001471781,-0.0004357,65.7,0.0421,0
-0.001848956,-0.005628766,62.6,0.042,0
-0.001668844,-0.006433611,62.4,0.0421,0
-0.001426373,0.020873225,57.5,0.0421,0
-0.001963441,0.000944037,59,0.042,0
-0.001869495,-0.008017713,56.6,0.0425,0
-0.00185442,-0.014283522,63.8,0.0429,0
-0.001614388,-0.009685584,60.5,0.0435,0
-0.001944789,-0.003555185,60.9,0.0445,0
-0.002277712,0.001943579,64.4,0.0462,0
-0.001440101,-0.007424088,68.4,0.0461,0
-0.001850498,0.002958638,66.1,0.0483,0
-0.00273012,0.01820494,63.8,0.0487,0
-0.001680536,-0.013080717,63.1,0.0475,0
-0.001878602,0.02344496,55.5,0.0478,0
-0.002711313,0.003627835,57.6,0.0481,0
-0.001285176,0.001119226,59.3,0.0502,0
-0.001389118,0.027073064,57.7,0.0522,0
-0.000914658,0.015547062,57.9,0.0518,0
-0.001415264,0.003844021,57,0.0501,0
-0.001103518,-0.021237556,54.2,0.0516,0
-0.001200649,-0.001779989,54.1,0.0484,0
-0.001383295,-0.016366588,54.1,0.0458,0
-0.000146053,-0.014744534,50.4,0.0463,0
-0.000669885,-0.010076991,48.7,0.0454,0
0.000424362,-0.007424438,44.3,0.0459,0
-0.00102042,-0.007718151,48,0.0485,0
-0.000859531,0.005460221,50.7,0.0502,0
-0.000910568,-0.007325583,53.4,0.0516,0
-0.001677564,-0.006972254,56.4,0.0528,0
-0.000137864,-0.006002471,57.4,0.053,0
-0.000400214,0.000783249,57.7,0.0548,0
-0.0031234,0.013726074,58.6,0.0575,0
-0.001280751,-0.012207311,58.7,0.057,0
0.00062365,0.001208251,59.3,0.0553,0
-0.002663736,0.019931043,58.1,0.0556,0
-0.000516594,0.008122112,55.8,0.0574,0
-0.00168113,-0.031055436,60.1,0.0564,0
-0.000616713,-0.009731097,60,0.0587,0
-0.001621113,-0.011905072,54.9,0.0572,0
-0.001411137,0.001253934,56.5,0.055,0
-0.001298531,0.009550068,56.1,0.0542,0
-0.000977698,-0.014050407,57,0.0546,0
-0.001500352,-0.010228138,61.1,0.0558,0
-0.001658903,-0.006834,59.8,0.057,0
-0.001658862,-0.004406882,60.6,0.0603,0
-0.001196223,0.018465921,57.1,0.0604,0
-0.001623089,0.002493895,59.1,0.0619,0
-0.001281693,0.009321174,58.8,0.063,0
-0.001036273,-0.008481249,55.1,0.0617,0
-0.001583754,-0.014172448,56.3,0.0632,0
-0.001897831,0.023473849,56.9,0.0657,0
-0.00057142,0.019744204,51.2,0.0672,0
-0.001709763,0.002430515,54.1,0.0669,0
0.000575298,-0.001486202,54.8,0.0716,0
-0.001265871,-0.004610334,53.2,0.071,0
0.000213777,-0.003128242,51.2,0.0714,0
-0.00094593,0.023585122,50.3,0.0765,0
0.000396429,0.003767964,48.1,0.0779,1
-0.000786407,0.015507543,45.9,0.0724,1
-0.000888327,-0.007352201,47.3,0.0707,1
0.000626508,0.013433046,45.5,0.0739,1
0.00136563,0.053092879,45.2,0.0791,1
0.000580473,0.002736699,49.7,0.0784,1
-0.000146719,-0.000775004,54.5,0.0746,1
0.000709602,-0.012488619,49.7,0.0753,1
-4.29E-05,-0.024097753,45.1,0.0739,1
0.002597209,-0.010398892,44.1,0.0733,1
0.000690286,0.000406843,38.5,0.0684,1
-0.002356006,-0.028715668,46.8,0.0639,0
-0.000447609,-0.016275254,50.5,0.0624,0
0.000355597,-0.01650124,60,0.0611,0
-0.000324954,-0.010991658,54.4,0.057,0
